Annotation	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18
environmental_samples	5	5	3	12	23	15	20	5	16	18	12	18
Epilithonimonas	0	0	1	0	0	0	0	0	0	0	0	0
Escherichia	0	0	1	0	0	2	0	1	0	0	0	0
Eubacterium	36	15	206	27	141	98	247	30	21	15	38	4
Exiguobacterium	0	0	0	0	1	0	0	0	0	0	0	0
Filimonas	0	0	0	6	0	0	0	0	0	0	0	0
Finegoldia	0	0	0	0	1	0	0	0	3	0	0	0
Flavobacterium	2	2	5	0	0	0	0	0	0	0	0	0
Flexibacter	0	0	1	0	0	0	0	0	0	0	1	1
Flexistipes	0	0	0	1	0	0	0	0	0	1	1	0
Fluviicola	0	0	1	0	0	0	0	0	0	0	0	0
Friedmanniella	0	0	0	0	2	0	0	0	0	0	0	0
Fulvimarina	0	0	0	0	0	0	1	0	0	0	0	0
Fusobacterium	39	3	326	15	108	68	114	34	4	11	13	2
Gemella	0	0	0	0	0	2	1	0	0	1	0	0
Gluconacetobacter	0	1	0	0	0	0	0	0	0	1	0	0
Glycomyces	0	0	0	0	1	0	1	1	0	0	0	0
Gordonia	0	0	0	0	0	0	0	0	2	0	0	0
Granulicatella	0	0	0	0	0	0	0	0	3	0	1	0
Guggenheimella	0	1	0	1	0	0	0	0	9	7	4	2
Gulosibacter	0	0	0	0	4	0	0	0	0	0	0	0
Haemophilus	0	0	0	0	0	0	0	0	1	0	0	0
Hahella	0	0	0	1	0	0	0	0	0	0	0	0
Halalkalibacillus	0	0	0	0	0	1	0	0	0	0	0	0
Hansschlegelia	0	0	0	1	0	0	0	0	0	0	0	0
Helcococcus	0	0	0	0	0	0	0	1	0	0	1	0
Helicobacter	0	0	0	1	0	0	0	0	1	1	2	0
Hoeflea	0	0	0	1	0	0	0	5	0	0	0	0
Holdemania	26	13	296	21	0	0	0	0	0	0	0	0
Holophaga	0	0	0	0	0	1	0	2	0	0	0	0
Hydrogenoanaerobacterium	0	0	0	0	0	0	0	2	0	0	0	0
Hyphomonas	0	2	0	2	0	0	0	0	1	1	0	1
Ignavibacterium	0	0	0	0	0	0	1	0	0	0	0	0
Isoptericola	0	0	0	0	1	0	0	0	1	1	1	1
Jeotgalicoccus	0	0	0	0	0	0	0	1	0	0	0	0
Klebsiella	4	0	2	0	0	1	0	0	0	0	0	0
Kordiimonas	1	1	0	1	3	2	3	0	0	4	7	1
Kurthia	0	0	1	0	0	0	4	9	0	1	1	0
Labrys	0	1	0	0	0	0	0	0	0	0	0	0
Lachnobacterium	0	0	0	0	0	0	0	3	0	0	0	0
Lacticigenium	0	0	0	0	0	0	0	0	0	1	1	0
Lactobacillus	23	5	7	16	5	14	5	22	6	5	7	18
Lactococcus	1906	2936	1060	804	849	695	171	419	994	4723	1270	808
Leptotrichia	12	12	1	17	10	3	2	13	4	3	0	2
Leucobacter	0	0	0	0	0	0	0	1	0	0	0	0
Leuconostoc	2	1	2	8	1	2	2	0	0	5	1	2
Luteimonas	0	0	0	0	1	2	1	0	0	0	0	0
Lutispora	0	0	0	0	1	0	0	0	0	0	0	0
Lysinibacillus	0	0	34	0	0	5	7	0	0	0	0	0
Magnetococcus	0	0	0	0	0	0	0	0	0	0	1	0
Maricaulis	0	0	0	2	0	0	0	0	0	1	0	0
Marinobacterium	0	1	0	0	0	0	0	0	0	2	2	0
Marinomonas	0	1	0	0	0	1	0	0	0	0	0	0
Marinospirillum	0	0	0	0	0	0	0	0	1	0	0	0
Melissococcus	0	0	0	0	0	0	0	0	0	1	0	0
Mesorhizobium	0	0	0	4	0	0	1	0	0	0	0	0
Methanobrevibacter	13	22	9	18	32	43	12	8	37	83	66	24
Methylocella	0	0	0	0	0	0	0	1	0	0	0	0
Microbacterium	5	7	5	0	1	13	7	2	2	2	0	3
Micrococcus	0	0	0	0	0	0	0	0	0	0	1	1
Micromonospora	0	0	0	0	0	0	0	0	0	0	0	1
Mogibacterium	0	0	0	0	1	0	0	0	0	0	0	0
Mycobacterium	0	1	0	5	0	0	0	2	0	0	0	0
Mycoplasma	640	449	1006	722	886	856	425	622	243	194	170	150
Nevskia	0	0	0	0	0	1	0	0	0	0	0	0
Niastella	0	0	0	1	0	0	0	0	0	0	0	0
Nocardioides	0	0	0	1	0	0	0	0	0	0	1	2
Novosphingobium	1	0	1	0	0	0	0	1	0	0	3	0
Ochrobactrum	0	0	0	0	1	3	3	0	0	0	0	0
Oenococcus	2	4	3	3	0	1	0	9	1	8	9	6
Oerskovia	2	0	0	0	1	0	0	0	0	0	0	0
Okadaella	0	1	0	0	0	0	0	0	8	1	0	0
Olivibacter	0	0	0	0	0	0	0	1	0	0	0	0
Oribacterium	3	1	3	6	7	9	6	11	0	0	0	0
Orientia	1	0	3	10	0	0	0	0	1	2	2	1
Paenibacillus	1	4	1	0	15	5	7	3	1	2	5	3
Paludibacter	0	0	1	0	0	0	0	0	0	0	0	0
Pantoea	42	128	314	62	15	13	17	2	110	156	235	47
Parabacteroides	33	11	78	14	0	0	0	0	0	0	0	0
Parachlamydia	0	0	0	0	0	0	0	0	0	0	0	1
Pectobacterium	0	0	0	0	0	0	0	0	0	0	1	0
Pedomicrobium	0	0	0	0	0	0	0	0	0	0	0	1
Pelagicoccus	0	0	0	0	0	0	0	0	0	1	0	0
Pelospora	0	1	0	0	0	0	0	0	0	0	0	0
Peptoniphilus	0	0	0	1	0	0	0	0	4	0	0	0
Phascolarctobacterium	251	190	76	78	1	1	0	0	62	75	86	10
Phormidium	0	0	0	0	1	0	0	0	0	0	0	0
Pilibacter	0	0	0	0	0	0	0	0	0	0	1	0
Planococcus	0	0	0	0	0	0	0	0	0	1	0	0
Porphyromonas	0	0	0	0	0	0	0	0	2	0	0	0
Prevotella	0	0	0	0	1	0	0	0	4	0	0	0
Prochlorococcus	1	3	0	2	0	1	1	0	0	2	2	1
Propionibacterium	2	0	0	0	0	5	0	3	6	2	1	1
Propionicimonas	0	0	0	0	0	3	0	0	0	0	2	1
Propionivibrio	0	0	0	1	2	3	5	3	12	17	13	12
Proteiniphilum	14	13	33	3	89	110	73	20	35	28	32	10
Pseudomonas	3	1	40	1	30	75	194	1	1	3	3	1
Pseudosphingobacterium	0	0	0	0	0	0	0	2	0	0	0	0
Puniceicoccus	0	0	0	0	0	0	0	0	0	0	0	1
Raoultella	0	0	1	0	0	0	0	0	0	0	0	0
Rarobacter	0	0	0	0	0	0	0	1	0	0	0	0
Rhizobium	1	0	0	17	2	0	0	14	1	0	0	0
Rhodococcus	0	0	0	0	3	0	1	0	0	0	0	0
Rhodospirillum	0	0	0	0	0	0	1	0	0	0	0	0
Rikenella	0	0	0	0	0	0	1	0	0	0	0	0
Robinsoniella	1	1	19	2	1	1	0	2	1	0	0	0
Roseburia	0	0	0	0	0	0	0	0	0	0	2	0
Rothia	0	0	0	0	0	0	0	0	4	0	1	0
Ruminococcus	1	1	5	0	1	0	2	0	1	0	0	0
Saccharothrix	0	0	0	0	0	0	1	0	0	0	0	0
Salimicrobium	0	0	0	0	1	0	1	1	0	0	0	0
Salmonella	0	0	4	0	0	3	1	1	0	0	0	0
Sciscionella	14	17	9	7	105	112	104	26	16	11	22	4
Sebaldella	0	0	0	0	0	0	0	1	0	0	0	0
Selenomonas	42	34	335	16	273	178	165	29	0	3	0	0
Shigella	0	0	3	1	0	0	0	0	0	2	0	1
Shinella	0	1	0	0	0	0	0	0	0	0	0	0
Sinorhizobium	0	0	0	0	0	0	0	0	0	1	0	1
Sphingobacterium	5	2	99	1	3	4	13	0	0	0	0	0
Sphingomonas	1	0	4	17	0	0	0	1	0	0	3	1
Sphingopyxis	0	0	1	1	0	0	0	2	0	0	0	0
Spirochaeta	1549	1378	673	2443	426	639	2199	1608	834	761	1158	1023
Spiroplasma	0	0	0	1	0	0	0	0	0	0	0	0
Sporobacterium	2	0	0	0	2	0	0	3	0	0	0	0
Sporocytophaga	2	1	5	0	0	0	0	0	0	0	1	0
Sporosarcina	0	0	0	0	0	0	0	0	0	1	0	0
Staphylococcus	0	0	0	0	1	0	0	0	0	0	0	1
Stenotrophomonas	0	0	12	1	4	18	47	0	0	0	0	0
Stenoxybacter	1	2	2	3	8	2	15	41	0	1	1	0
Streptococcus	3	1	2	0	0	0	2	2	5	1	5	0
Sutterella	0	0	0	0	1	0	0	0	0	0	0	0
Symbiobacterium	1	1	0	1	0	0	0	1	0	1	0	0
Synergistes	0	0	0	0	0	0	0	0	0	0	1	0
Syntrophomonas	0	0	0	0	0	0	0	0	0	0	0	1
Syntrophus	1	1	0	0	2	0	1	0	0	0	0	0
Telmatospirillum	0	0	0	0	0	0	0	0	0	0	1	0
Tepidimicrobium	1	0	0	0	0	0	0	0	0	0	0	0
Tepidimonas	0	0	2	0	0	0	0	1	0	0	0	0
Terasakiella	6	9	1	46	0	1	0	0	18	13	12	27
Tessaracoccus	0	0	0	1	0	0	0	0	0	0	0	0
Tetrathiobacter	0	0	0	0	2	0	0	0	0	0	0	0
Thermohalobacter	0	0	1	0	0	0	0	0	0	0	0	0
Thermomonospora	0	0	0	0	0	0	0	1	0	0	0	0
Tindallia	0	0	0	1	0	0	0	0	0	0	0	0
Tistrella	0	0	0	0	0	1	2	3	0	0	0	0
Treponema	5558	4658	4024	6683	3482	3346	5757	6205	5585	5363	7292	5545
Tsukamurella	2	0	0	0	2	29	3	0	0	0	0	0
Turicibacter	0	0	0	0	0	0	0	0	0	0	1	0
Umezawaea	1	0	0	0	0	0	0	0	0	0	0	0
Uruburuella	0	0	1	0	0	0	0	0	0	1	0	0
Vagococcus	0	0	0	0	0	0	0	1	0	0	0	1
Variovorax	0	1	0	0	0	0	0	0	0	1	0	0
Vibrio	0	1	0	0	1	0	0	0	0	0	3	0
Wautersiella	0	0	0	0	0	0	0	2	0	0	0	0
Wolbachia	0	0	0	0	1	0	0	0	0	0	0	0
Xanthomonas	0	0	0	1	0	3	0	0	0	0	0	0
Xenorhabdus	0	0	1	0	0	0	0	0	0	0	0	0
